server,avg,min,max,stddev,lost,ttl,response
223.6.6.6,14.074,11.789,20.059,2.448,%0,1,NOERROR
210.5.56.145,45.182,28.781,140.064,33.696,%0,3600,NOERROR
114.114.115.119,61.278,56.422,72.416,4.276,%0,78,NOERROR
114.114.115.115,74.665,52.722,208.840,47.330,%0,76,NOERROR
114.114.114.114,77.383,58.151,221.629,50.718,%0,77,NOERROR
202.46.34.76,146.371,111.218,391.447,86.510,%0,3599,NOERROR
202.46.33.250,357.492,119.155,1918.150,553.861,%0,749,NOERROR
